feature,psi,drift_level,confidence,reference_samples,inference_samples
ct_src_dport_ltm,14.8848,significant_drift,LOW_CONFIDENCE_DRIFT,2059415,512
smeansz,9.6039,significant_drift,LOW_CONFIDENCE_DRIFT,2059415,512
